,count,user
9841,27,U10000@DOM1
8306,124,U10001@DOM1
4225,1372,U10002@DOM1
10313,14,U10004@C21097
10173,16,U10004@C25763
8720,85,U10005@DOM1
9002,64,U10006@DOM1
6425,487,U10008@DOM1
1007,4785,U10009@DOM1
3449,1772,U1000@DOM1
9715,31,U10010@DOM1
8467,110,U10011@DOM1
9426,42,U10012@DOM1
963,4922,U10015@DOM1
5407,836,U10016@DOM1
7041,317,U10017@DOM1
8097,147,U10019@DOM1
597,8995,U1001@DOM1
3368,1816,U10021@DOM1
7885,174,U10026@DOM1
10471,8,U10027@DOM1
5489,810,U10029@DOM1
5925,643,U1002@DOM1
7321,262,U10030@DOM1
1243,4023,U10031@DOM1
8385,118,U10033@DOM1
10379,11,U10037@C15095
9606,35,U1003@DOM1
9406,43,U10040@DOM1
9230,52,U10041@DOM1
6594,432,U10042@DOM1
9937,24,U10044@DOM1
2545,2342,U10046@DOM1
7264,272,U10047@DOM1
8819,77,U10048@DOM1
2660,2253,U1004@DOM1
9410,43,U10051@DOM1
4970,1019,U10052@DOM1
6072,600,U10053@DOM1
7034,318,U10054@DOM1
1606,3350,U10056@DOM1
902,5232,U10057@DOM1
4020,1470,U1005@DOM1
9175,55,U10060@DOM1
3291,1871,U10062@DOM1
8133,143,U10063@DOM1
6463,476,U10064@DOM1
8626,94,U10066@C18313
10421,9,U10066@C18315
10537,4,U10066@C21285
494,11139,U10066@C21690
6339,510,U10067@DOM1
10190,16,U10069@C4753
7226,281,U1006@DOM1
7598,216,U10070@DOM1
9300,48,U10075@DOM1
4686,1154,U10076@DOM1
8387,117,U10077@DOM1
8285,126,U10079@DOM1
2496,2383,U1007@DOM1
7915,171,U10081@DOM1
8982,66,U10082@DOM1
9362,45,U10084@DOM1
9589,36,U10086@DOM1
8283,126,U10088@DOM1
4509,1234,U1008@DOM1
1642,3302,U10090@C21302
8975,66,U10092@DOM1
10302,14,U10093@DOM5
7483,234,U10095@DOM1
6710,397,U10097@DOM1
9930,24,U10098@C13899
9386,44,U10098@C3407
9649,34,U10098@C9182
5653,740,U1009@DOM1
2380,2477,U100@DOM1
9513,39,U10101@C3552
9245,51,U10102@DOM1
9027,63,U10105@DOM1
8481,109,U10109@DOM1
9035,62,U1010@DOM1
7693,203,U10112@DOM1
1804,3077,U10114@DOM1
8873,73,U10116@DOM1
9080,60,U10118@DOM1
8917,70,U10119@DOM1
6270,531,U1011@DOM1
7508,229,U10120@DOM1
7346,259,U10122@DOM1
8214,134,U10126@DOM1
9779,29,U10129@DOM1
5688,730,U1012@DOM1
8169,138,U10132@DOM1
7350,258,U10134@DOM1
10541,4,U10135@DOM1
8907,71,U10137@DOM1
8689,88,U10139@DOM1
6906,349,U1013@DOM1
8733,84,U10140@DOM1
7307,265,U10144@DOM1
9376,44,U10145@DOM1
7765,191,U10146@DOM1
6035,610,U10148@DOM1
3650,1671,U1014@DOM1
5119,959,U10150@DOM1
3181,1935,U10152@DOM1
5180,929,U10153@DOM1
4626,1182,U10154@DOM1
8882,72,U10155@DOM1
6527,453,U10157@DOM1
10301,14,U10158@DOM1
9658,33,U10159@DOM1
9695,32,U1015@DOM1
10588,2,U10161@C14964
10614,1,U10161@C812
1236,4042,U10162@DOM1
1552,3414,U10163@DOM1
9262,50,U10164@DOM1
10339,13,U10166@DOM1
10027,21,U10168@C14488
4002,1482,U10169@DOM1
10483,7,U1016@DOM1
6289,525,U10170@DOM1
9532,38,U10171@DOM1
3632,1677,U10172@DOM1
10118,18,U10173@DOM1
5386,846,U10174@DOM1
9190,54,U10176@DOM1
209,29471,U10177@DOM1
4658,1168,U10178@DOM1
5845,674,U10179@DOM1
1814,3063,U1017@DOM1
7409,248,U10180@DOM1
3689,1647,U10182@DOM1
10433,9,U10183@C14302
10424,9,U10184@C14302
9810,29,U10185@C14302
9642,34,U10185@C22707
8718,85,U10187@C17113
5629,747,U10188@DOM1
8490,108,U10189@DOM1
1458,3586,U1018@C895
9250,51,U10191@DOM1
559,9726,U10192@DOM1
6432,483,U10194@DOM1
3344,1832,U10195@DOM1
9975,23,U10196@C21531
8540,103,U10196@C2594
7413,247,U10198@DOM1
3192,1926,U1019@DOM1
6655,413,U101@DOM1
8269,127,U10200@DOM1
3729,1630,U10202@DOM1
8767,81,U10203@DOM1
4414,1281,U10205@C972
5151,942,U10208@DOM1
9973,23,U10209@C19393
3804,1591,U1020@DOM1
1573,3395,U10211@DOM1
8045,153,U10212@DOM1
9382,44,U10214@DOM1
8300,125,U10215@DOM1
8375,118,U10216@DOM1
2956,2068,U10217@DOM1
7881,175,U10218@DOM1
8366,119,U1021@DOM1
