,num_sessions
0,1
1,12
2,62
3,1
4,3
5,5
6,5
7,56
8,6
9,119
10,2
11,23
12,2
13,62
14,81
15,17
16,10
17,80
18,115
19,15
20,4
21,74
22,112
23,31
24,71
25,9
26,1
27,1
28,3
29,4
30,16
31,3
32,48
33,30
34,5
35,118
36,1
37,59
38,42
39,24
40,89
41,24
42,97
43,3
44,51
45,9
46,14
47,14
48,1
49,1
50,19
51,61
52,1
53,1
54,21
55,1
56,64
57,5
58,16
59,103
60,10
61,8
62,5
63,2
64,11
65,106
66,44
67,5
68,4
69,15
70,14
71,1
72,1
73,1
74,42
75,101
76,13
77,21
78,2
79,2
80,2
81,13
82,72
83,4
84,7
85,8
86,101
87,18
88,18
89,3
90,2
91,57
92,11
93,37
94,1
95,5
96,6
97,14
98,10
99,18
100,3
101,19
102,20
103,130
104,97
105,101
106,34
107,98
108,5
109,21
110,3
111,1
112,5
113,1
114,1
115,59
116,57
117,7
118,1
119,1
120,101
121,1
122,51
123,1
124,117
125,2
126,50
127,5
128,3
129,80
130,61
131,83
132,9
133,76
134,1
135,1
136,1
137,3
138,2
139,17
140,6
141,68
142,3
143,35
144,45
145,20
146,2
147,4
148,9
149,136
150,69
151,9
152,96
153,7
154,6
155,7
156,2
157,113
158,2
159,21
160,3
161,13
162,9
163,97
164,39
165,11
166,72
167,17
168,1
169,21
170,54
171,54
172,39
173,71
174,14
175,6
176,33
177,20
178,8
179,28
180,52
181,88
182,3
183,19
184,15
185,1
186,14
187,4
188,6
189,1
190,4
191,1
192,6
193,3
194,4
195,5
196,12
197,20
198,14
199,4
200,2
201,33
202,9
203,2
204,73
205,2
206,100
207,1
208,2
209,17
210,46
211,9
212,24
213,3
214,76
215,25
216,17
217,2
218,2
219,2
220,1
221,4
222,4
223,28
224,23
225,31
226,4
227,11
228,8
229,2
230,2
231,1
232,103
233,22
234,9
235,10
236,4
237,8
238,60
239,7
240,6
241,5
242,52
243,7
244,3
245,106
246,14
247,13
248,7
249,128
250,21
251,3
252,2
253,7
254,116
255,2
256,19
257,138
258,199
259,8
260,3
261,164
262,4
263,49
264,85
265,3
266,2
267,128
268,1
269,2
270,92
271,1
272,58
273,2
274,16
275,1
276,2
277,7
278,1
279,106
280,8
281,2
282,1
283,3
284,13
285,148
286,1
287,1
288,3
289,1
290,8
291,1
292,5
293,1
294,1
295,1
296,1
297,1
298,1
299,58
300,1
301,2
302,2
303,10
304,81
305,1
306,50
307,1
308,5
309,12
310,3
311,31
312,1
313,2
314,10
315,44
316,5
317,17
318,8
319,1
320,13
321,1
322,56
323,8
324,18
325,98
326,2
327,2
328,2
329,14
330,78
331,3
332,24
333,8
334,1
335,102
336,1
337,6
338,1
339,7
340,2
341,7
342,24
343,61
344,7
345,2
346,31
347,12
348,47
349,1
350,3
351,15
352,12
353,1
354,6
355,2
356,2
357,95
358,2
359,1
360,3
361,1
362,41
363,6
364,9
365,1
366,6
367,6
368,32
369,96
370,34
371,1
372,20
373,2
374,1
375,1
376,1
377,2
378,93
379,72
380,91
381,15
382,6
383,2
384,1
385,3
386,142
387,5
388,7
389,9
390,10
391,5
392,5
393,1
394,96
395,2
396,12
397,5
398,2
399,7
400,20
401,56
402,2
403,1
404,1
405,38
406,1
407,1
408,1
409,69
410,83
411,2
412,3
413,5
414,5
415,4
416,42
417,5
418,50
419,1
420,31
421,11
422,13
423,112
424,25
425,20
426,111
427,4
428,19
429,6
430,1
431,1
432,3
433,164
434,7
435,9
436,1
437,19
438,1
439,10
440,56
441,126
442,77
443,86
444,2
445,89
446,13
447,65
448,4
449,82
450,171
451,120
452,66
453,14
454,5
455,2
456,78
457,66
458,1
459,30
460,3
461,107
462,18
463,70
464,3
465,2
466,5
467,12
468,84
469,4
470,57
471,113
472,9
473,27
474,18
475,28
476,23
477,68
478,22
479,1
480,2
481,1
482,1
483,218
484,1
485,1
486,25
487,3
488,1
489,4
490,117
491,5
492,4
493,2
494,1
495,1
496,7
497,14
498,47
499,13
500,14
501,2
502,1
503,1
504,80
505,11
506,2
507,25
508,116
509,5
510,3
511,1
512,1
513,75
514,27
515,6
516,15
517,27
518,301
519,9
520,14
521,30
522,13
523,2
524,3
525,7
526,133
527,5
528,2
529,1
530,2
531,1
532,2
533,2
534,6
535,1
536,1
537,8
538,2
539,58
540,19
541,87
542,7
543,52
544,13
545,5
546,5
547,80
548,1
549,6
550,2
551,14
552,116
553,11
554,3
555,151
556,18
557,10
558,3
559,2
560,3
561,13
562,14
563,1
564,12
565,43
566,8
567,23
568,1
569,9
570,7
571,1
572,1
573,1
574,1
575,12
576,2
577,42
578,3
579,11
580,5
581,75
582,5
583,3
584,3
585,1
586,1
587,5
588,2
589,59
590,1
591,4
592,18
593,11
594,7
595,61
596,45
597,1
598,75
599,4
600,11
601,20
602,3
603,1
604,6
605,83
606,127
607,1
608,2
609,129
610,73
611,2
612,63
613,60
614,8
615,27
616,1
617,10
